tg_id,pack_name,created_flag,front_word,back_word,date_of_repeat,repeat_length,is_hidden
875771161,Module 1,False,sight ,вид/зрелище,2026-08-31,170.9951171875,0
875771161,Module 1,False,slender ,стройный/тонкий,2026-08-30,170.9951171875,0
875771161,Module 1,False,smooth ,гладкий/ровный,2026-08-31,170.9951171875,0
875771161,Module 1,False,stiff ,упругий,2026-04-22,4.75,0
875771161,Module 1,False,thin ,тонкий,2026-05-26,74.88671875,0
875771161,Module 1,False,thick ,толстый,2026-07-05,113.330078125,0
875771161,Module 1,False,twilight ,сумерки/полумрак,2026-08-31,170.9951171875,0
875771161,Module 1,False,dull ,скучный,2026-09-12,170.9951171875,0
875771161,Module 1,False,graduation ,окончание учебного заведения,2026-09-12,170.9951171875,0
875771161,Module 1,False,facility ,сооружение,2026-05-01,49.2578125,0
875771161,Module 1,False,reply ,ответ,2026-03-27,1.0,0
875771161,Module 1,False,suggest ,предлагать,2026-07-17,113.330078125,0
875771161,Module 1,False,be up to something ,быть чем-то занятым,2026-05-20,32.171875,0
875771161,Module 1,False,bother ,беспокоить,2026-05-27,74.88671875,0
875771161,Module 1,False,inspiration ,вдохновение,2026-08-30,170.9951171875,0
875771161,Module 1,False,reasonably ,разумно/обоснованно,2026-07-05,113.330078125,0
875771161,Module 1,False,wet ,мокрый,2026-08-30,170.9951171875,0
875771161,Module 1,False,accept ,принимать,2026-09-12,170.9951171875,0
875771161,Module 1,False,apply ,применять/обращаться,2026-08-30,170.9951171875,0
875771161,Module 1,False,suffer ,страдать,2026-04-26,8.125,0
875771161,Module 1,False,suspect ,подозревать/предполагать,2026-04-22,4.75,0
875771161,Module 1,False,manufacture ,производство/производить,2026-08-31,170.9951171875,0
875771161,Module 1,False,brave ,смелый,2026-08-30,170.9951171875,0
875771161,Module 1,False,contribution ,вклад/взнос,2026-09-12,170.9951171875,0
875771161,Module 1,False,rescue ,спасение/освобождение,2026-09-12,170.9951171875,0
875771161,Module 2,True,,,0,0.0,0
875771161,Module 2,False,Archery,стрельба из лука,2026-09-13,170.9951171875,0
875771161,Module 2,False,Afford,позволить себе,2026-03-28,1.0,0
875771161,Module 2,False,by cheque,оплата чеком,2026-09-13,170.9951171875,0
875771161,Module 2,False,make ends meet,сводить концы с концами,2026-09-13,170.9951171875,0
875771161,Module 2,False,adventurous,любящий приключения,2026-07-18,113.330078125,0
875771161,Module 2,False,determined,решительный,2026-03-28,1.0,0
875771161,Module 2,False,cautious,осторожный/ осмотрительный,2026-03-28,1.0,0
875771161,Module 2,False,reserved,сдержанный/ замкнутый,2026-07-18,113.330078125,0
875771161,Module 2,False,to slide,скользить,2026-09-13,170.9951171875,0
875771161,Module 2,False,play it cool,не терять самообладания,2026-03-28,1.0,0
875771161,Module 2,False,accommodate,размещаться,2026-03-28,1.0,0
875771161,Module 2,False,complete,завершить/завершенный,2026-03-28,1.0,0
875771161,Module 2,False,neighbourhood,окружающий район,2026-09-13,170.9951171875,0
875771161,Module 2,False,work long hours,работать допоздна,2026-09-13,170.9951171875,0
875771161,Module 2,False,aloud,вслух,2026-05-15,49.2578125,0
875771161,Module 2,False,bang,грохот/ треск,2026-03-28,1.0,0
875771161,Module 2,False,bit,немного/ кусочек/ частица,2026-09-13,170.9951171875,0
875771161,Module 2,False,charm,обаяние/ привлекательность,2026-07-18,113.330078125,0
875771161,Module 2,False,convenience,удобство,2026-04-16,20.78125,0
875771161,Module 2,False,dreadful,страшный/ ужасный,2026-09-13,170.9951171875,0
875771161,Module 2,False,heap,куча,2026-09-13,170.9951171875,0
875771161,Module 2,False,ordinary,обычный,2026-03-28,1.0,0
875771161,Module 2,False,passage,проход/ коридор,2026-09-13,170.9951171875,0
875771161,Module 2,False,refurnish,переоборудовать,2026-07-18,113.330078125,0
875771161,Module 2,False,urban,городской,2026-09-13,170.9951171875,0
875771161,Module 2,False,suppose,предполагать/ думать,2026-06-09,74.88671875,0
875771161,Module 2,False,apology,извинение/ оправдание,2026-04-28,32.171875,0
875771161,Module 2,False,reminder,напоминание/ памятка,2026-07-18,113.330078125,0
875771161,Module 2,False,resemble,иметь сходство,2026-04-28,32.171875,0
875771161,Module 3,True,,,0,0.0,0
